,ResNet50,MobileNetV2,ResNet101,BERT
ResNet50,44.5/0.0,15.6/0.0,36.68/0.0,46.73/0.0
MobileNetV2,44.5/0.0,15.6/0.0,36.68/0.0,46.73/0.0
ResNet101,44.5/0.0,15.6/0.0,36.68/0.0,46.73/0.0
BERT,44.5/0.0,15.6/0.0,36.68/0.0,46.73/0.0
