,ResNet50,MobileNetV2,ResNet101,BERT
ResNet50,55.84/0.0,57.07/0.0,57.73/0.0,36.91/0.0
MobileNetV2,85.56/0.0,85.15/0.0,90.04/0.0,54.15/0.0
ResNet101,30.13/0.0,31.9/0.0,32.07/0.0,19.53/0.0
BERT,12.11/0.0,12.85/0.0,12.52/0.0,9.53/0.0
