,ResNet50,MobileNetV2,ResNet101,BERT
ResNet50,113.39/0.0,59.21/0.0,110.59/0.0,120.94/0.0
MobileNetV2,110.11/0.0,59.73/0.0,101.37/0.0,106.25/0.0
ResNet101,108.28/0.0,54.01/0.0,100.62/0.0,112.75/0.0
BERT,193.43/0.0,117.72/0.0,195.75/0.0,185.06/0.0
