,ResNet50,MobileNetV2,ResNet101,BERT
ResNet50,nan/nan,nan/nan,nan/nan,nan/nan
MobileNetV2,nan/nan,nan/nan,nan/nan,nan/nan
ResNet101,nan/nan,nan/nan,nan/nan,nan/nan
BERT,nan/nan,nan/nan,nan/nan,nan/nan
