,ResNet50,MobileNetV2,ResNet101,BERT
ResNet50,55.84/0.0,85.57/0.0,30.09/0.0,12.1/0.0
MobileNetV2,57.09/0.0,85.14/0.0,31.97/0.0,12.9/0.0
ResNet101,57.78/0.0,90.17/0.0,32.12/0.0,12.53/0.0
BERT,36.95/0.0,54.38/0.0,19.53/0.0,9.5/0.0
